id,name
O94778,AQP8
O94804,STK10
O94823,ATP10B
O94850,DDN
O94856,NFASC
O94898,LRIG2
O94921,CDK14
O94956,SLCO2B1
O94973,AP2A2
O94979,SEC31A
O94985,CLSTN1
O95007,OR6B1
O95047,OR2A4
O95049,TJP3
O95070,YIF1A
O95140,MFN2
O95178,NDUFB2
O95180,CACNA1H
O95182,NDUFA7
O95197,RTN3
O95219,SNX4
O95221,OR5F1
O95222,OR6A2
O95259,KCNH1
O95264,HTR3B
O95267,RASGRP1
O95271,TNKS
O95274,LYPD3
O95295,SNAPIN
O95371,OR2C1
O95377,GJB5
O95425,SVIL
O95436,SLC34A2
O95452,GJB6
O95466,FMNL1
O95471,CLDN7
O95477,ABCA1
O95500,CLDN14
O95528,SLC2A10
O95563,MPC2
O95622,ADCY5
O95630,STAMBP
O95661,DIRAS3
O95665,NTSR2
O95674,CDS2
O95721,SNAP29
O95754,SEMA4F
O95755,RAB36
O95772,STARD3NL
O95782,AP2A1
O95800,GPR75
O95838,GLP2R
O95847,SLC25A27
O95867,LY6G6C
O95907,SLC16A8
O95971,CD160
O95977,S1PR4
O95980,RECK
O95996,APC2
O96000,NDUFB10
O96008,TOMM40
O96024,B3GALT4
P00387,CYB5R3
P00519,ABL1
P00533,EGFR
P00813,ADA
P01116,KRAS
P01130,LDLR
P01133,EGF
P01135,TGFA
P01375,TNF
P01589,IL2RA
P01730,CD4
P01732,CD8A
P01833,PIGR
P01903,HLA-DRA
P01906,HLA-DQA2
P02686,MBP
P02708,CHRNA1
P02724,GYPA
P02730,SLC4A1
P02748,C9
P02786,TFRC
P03372,ESR1
P03999,OPN1SW
P04001,OPN1MW
P04035,HMGCR
P04062,GBA
P04201,MAS1
P04234,CD3D
P04440,HLA-DPB1
P04626,ERBB2
P04629,NTRK1
P04839,CYBB
P04843,RPN1
P04920,SLC4A2
P05026,ATP1B1
P05067,APP
P05106,ITGB3
P05107,ITGB2
P05109,S100A8
P05177,CYP1A2
P05181,CYP2E1
P05186,ALPL
P05187,ALPP
P05362,ICAM1
P05556,ITGB1
P05981,HPN
P06126,CD1A
P06127,CD5
P06213,INSR
P06239,LCK
P06340,HLA-DOA
P06702,S100A9
P06703,S100A6
P06729,CD2
P06731,CEACAM5
P06734,FCER2
P06756,ITGAV
P07099,EPHX1
P07202,TPO
P07204,THBD
P07306,ASGR1
P07307,ASGR2
P07332,FES
P07333,CSF1R
P07357,C8A
P07359,GP1BA
P07510,CHRNG
P07550,ADRB2
P07766,CD3E
P07911,UMOD
P07949,RET
P08034,GJB1
P08100,RHO
P08138,NGFR
P08172,CHRM2
P08173,CHRM4
P08174,CD55
P08195,SLC3A2
P08235,NR3C2
P08247,SYP
P08473,MME
P08514,ITGA2B
P08571,CD14
P08575,PTPRC
P08581,MET
P08588,ADRB1
P08631,HCK
P08648,ITGA5
P08686,CYP21A2
P08887,IL6R
P08908,HTR1A
P08913,ADRA2A
P08962,CD63
P09172,DBH
P09326,CD48
P09496,CLTA
P09497,CLTB
P09543,CNP
P09564,CD7
P09619,PDGFRB
P09693,CD3G
P09758,TACSTD2
P09769,FGR
P09848,LCT
P09917,ALOX5
P09936,UCHL1
P09958,FURIN
P0C869,PLA2G4B
P0CG37,CFC1
P10114,RAP2A
P10301,RRAS
P10321,HLA-C
P10586,PTPRF
P10635,CYP2D6
P10636,MAPT
P10721,KIT
P10747,CD28
P10909,CLU
P10912,GHR
P11049,CD37
P11168,SLC2A2
P11215,ITGAM
P11229,CHRM1
P11230,CHRNB1
P11233,RALA
P11279,LAMP1
P11362,FGFR1
P11509,CYP2A6
P11511,CYP19A1
P11532,DMD
P11712,CYP2C9
P11717,IGF2R
P11801,PSKH1
P11836,MS4A1
P11912,CD79A
P12110,COL6A2
P12270,TPR
P12314,FCGR1A
P12318,FCGR2A
P12821,ACE
P12830,CDH1
P13224,GP1BB
P13385,TDGF1
P13473,LAMP2
P13569,CFTR
P13584,CYP4B1
P13591,NCAM1
P13612,ITGA4
P13688,CEACAM1
P13726,F3
P13765,HLA-DOB
P13796,LCP1
P13866,SLC5A1
P13945,ADRB3
P13987,CD59
P14151,SELL
P14222,PRF1
P14317,HCLS1
P14384,CPM
